filename,MOS,std,height,width,framerate
pa2_25fps.yuv,44.5104,12.2909,432,768,25
pa3_25fps.yuv,70.1054,8.463,432,768,25
pa4_25fps.yuv,66.428,10.922,432,768,25
pa5_25fps.yuv,75.1225,8.7056,432,768,25
pa6_25fps.yuv,73.8803,5.7825,432,768,25
pa7_25fps.yuv,63.2564,8.8315,432,768,25
pa8_25fps.yuv,61.2726,10.6827,432,768,25
pa9_25fps.yuv,40.5551,8.404,432,768,25
pa10_25fps.yuv,52.6111,9.8646,432,768,25
pa11_25fps.yuv,60.2534,9.0097,432,768,25
pa12_25fps.yuv,68.7186,9.3995,432,768,25
pa13_25fps.yuv,42.9784,8.505,432,768,25
pa14_25fps.yuv,51.053,8.0119,432,768,25
pa15_25fps.yuv,55.702,9.3731,432,768,25
pa16_25fps.yuv,65.6457,10.8023,432,768,25
rb2_25fps.yuv,64.9369,12.4744,432,768,25
rb3_25fps.yuv,46.2446,9.8897,432,768,25
rb4_25fps.yuv,54.3732,12.0351,432,768,25
rb5_25fps.yuv,46.4907,10.9136,432,768,25
rb6_25fps.yuv,68.1064,10.4983,432,768,25
rb7_25fps.yuv,54.8101,13.2412,432,768,25
rb8_25fps.yuv,54.6555,12.2369,432,768,25
rb9_25fps.yuv,39.1978,11.7595,432,768,25
rb10_25fps.yuv,43.6833,12.6685,432,768,25
rb11_25fps.yuv,55.8563,15.2382,432,768,25
rb12_25fps.yuv,63.5809,12.0636,432,768,25
rb13_25fps.yuv,38.8828,11.05,432,768,25
rb14_25fps.yuv,45.6069,14.4528,432,768,25
rb15_25fps.yuv,48.0089,13.7996,432,768,25
rb16_25fps.yuv,47.527,11.8475,432,768,25
rh2_25fps.yuv,68.1431,12.0123,432,768,25
rh3_25fps.yuv,63.5698,12.6835,432,768,25
rh4_25fps.yuv,48.0196,11.2378,432,768,25
rh5_25fps.yuv,51.498,13.1559,432,768,25
rh6_25fps.yuv,55.2291,11.2665,432,768,25
rh7_25fps.yuv,62.3778,12.1601,432,768,25
rh8_25fps.yuv,42.6909,9.5547,432,768,25
rh9_25fps.yuv,37.8713,9.9518,432,768,25
rh10_25fps.yuv,45.4363,11.9058,432,768,25
rh11_25fps.yuv,53.6343,13.7169,432,768,25
rh12_25fps.yuv,62.9934,10.0094,432,768,25
rh13_25fps.yuv,31.4716,8.0896,432,768,25
rh14_25fps.yuv,42.8568,11.482,432,768,25
rh15_25fps.yuv,52.0988,8.0925,432,768,25
rh16_25fps.yuv,62.2062,10.8021,432,768,25
tr2_25fps.yuv,71.2731,7.3171,432,768,25
tr3_25fps.yuv,72.1356,8.2769,432,768,25
tr4_25fps.yuv,64.6561,8.7193,432,768,25
tr5_25fps.yuv,53.1125,10.2891,432,768,25
tr6_25fps.yuv,73.473,11.2189,432,768,25
tr7_25fps.yuv,55.3531,10.7032,432,768,25
tr8_25fps.yuv,52.4524,9.9872,432,768,25
tr9_25fps.yuv,38.6726,8.7816,432,768,25
tr10_25fps.yuv,47.7716,8.6263,432,768,25
tr11_25fps.yuv,56.9119,9.3595,432,768,25
tr12_25fps.yuv,63.7984,7.4827,432,768,25
tr13_25fps.yuv,33.4734,8.8625,432,768,25
tr14_25fps.yuv,42.5381,12.2394,432,768,25
tr15_25fps.yuv,56.1328,10.0524,432,768,25
tr16_25fps.yuv,65.7102,10.8513,432,768,25
st2_25fps.yuv,65.6522,11.8297,432,768,25
st3_25fps.yuv,61.3221,11.2218,432,768,25
st4_25fps.yuv,44.0305,12.31,432,768,25
st5_25fps.yuv,41.4157,10.1887,432,768,25
st6_25fps.yuv,58.4534,10.2342,432,768,25
st7_25fps.yuv,44.2762,10.2308,432,768,25
st8_25fps.yuv,48.3834,10.8759,432,768,25
st9_25fps.yuv,40.7745,10.944,432,768,25
st10_25fps.yuv,46.5633,9.3641,432,768,25
st11_25fps.yuv,52.3269,11.2327,432,768,25
st12_25fps.yuv,56.0811,9.9024,432,768,25
st13_25fps.yuv,36.5136,10.6661,432,768,25
st14_25fps.yuv,42.9632,9.5615,432,768,25
st15_25fps.yuv,49.1987,12.5682,432,768,25
st16_25fps.yuv,57.42,10.8714,432,768,25
sf2_25fps.yuv,54.9213,9.9593,432,768,25
sf3_25fps.yuv,63.2756,7.0135,432,768,25
sf4_25fps.yuv,56.8614,10.3063,432,768,25
sf5_25fps.yuv,49.2987,7.9941,432,768,25
sf6_25fps.yuv,59.3959,8.3076,432,768,25
sf7_25fps.yuv,44.8094,11.1511,432,768,25
