vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Animation_1080P-01b3,Animation,1080,125,3.649,3.604,3.721,3.338,0.468,0.574,0.61,0.618,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_1080P-05f8,Animation,1080,146,3.901,3.757,3.671,3.728,0.871,0.734,0.733,0.738,1920,1080,yuv420p,25,NaN,NaN,NaN
Animation_1080P-0c4f,Animation,1080,127,3.94,3.831,4.01,4.031,0.529,0.527,0.626,0.692,1920,1080,yuv420p,23.976023976024,NaN,NaN,NaN
Animation_1080P-0cdf,Animation,1080,135,4.245,4.329,4.249,4.249,0.587,0.509,0.494,0.611,1920,1080,yuv420p,30,NaN,NaN,NaN
Animation_1080P-18f5,Animation,1080,139,4.158,4.177,3.815,4.02,0.579,0.587,0.612,0.683,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_1080P-209f,Animation,1080,136,4.189,4.138,4.112,4.224,0.622,0.606,0.594,0.509,1920,1080,yuv420p,25,NaN,NaN,NaN
Animation_1080P-21dd,Animation,1080,115,3.791,3.719,3.733,3.62,0.486,0.526,0.481,0.588,1920,1080,yuv420p,23.976023976024,NaN,NaN,NaN
Animation_1080P-2fbe,Animation,1080,105,3.346,3.456,3.341,3.324,0.82,0.578,0.721,0.64,1920,1080,yuv420p,23.976023976024,NaN,NaN,NaN
Animation_1080P-2fff,Animation,1080,124,4.369,4.343,4.288,4.465,0.517,0.517,0.637,0.476,1920,1080,yuv420p,25,NaN,NaN,NaN
Animation_1080P-3d67,Animation,1080,118,2.778,2.297,2.313,2.201,0.907,1.005,0.978,0.857,1920,1080,yuv420p,4,NaN,NaN,NaN
Animation_1080P-3dbf,Animation,1080,142,4.444,4.326,4.319,4.212,0.514,0.57,0.578,0.568,1920,1080,yuv420p,24,NaN,NaN,NaN
Animation_1080P-3e01,Animation,1080,135,4.045,4.172,4.26,4.132,0.654,0.67,0.589,0.688,1920,1080,yuv420p,12,NaN,NaN,NaN
Animation_1080P-4214,Animation,1080,119,3.51,3.379,3.368,3.415,0.751,0.863,0.872,0.83,1920,1080,yuv420p,25,NaN,NaN,NaN
Animation_1080P-4609,Animation,1080,126,4.698,4.787,4.718,4.741,0.364,0.312,0.374,0.356,1920,1080,yuv420p,30,NaN,NaN,NaN
Animation_1080P-4be3,Animation,1080,124,3.565,3.491,3.706,3.508,0.497,0.592,0.584,0.525,1920,1080,yuv422p10le,23.976023976024,NaN,NaN,NaN
Animation_1080P-4ea8,Animation,1080,139,4.121,4.314,3.835,3.61,0.625,0.509,0.522,0.586,1920,1080,yuv420p,24,NaN,NaN,NaN
Animation_1080P-5083,Animation,1080,111,3.252,2.45,2.491,2.486,0.778,0.972,0.996,1.006,1920,1080,yuv420p,25,NaN,NaN,NaN
